LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
362;250220130;BRODZIAKI;Czarna Łada (22862);50 30 24;22 47 24;201.0
363;250220140;Tarnogróg;Tanew (228);50 21 24;22 45 24;237.0
364;250220210;JAROSŁAW;San (22);50 01 06;22 41 47;181.0
365;250220220;Jarosław;San (22);50 01 16;22 42 09;180.0
366;250230020;Nielisz;Wieprz (24);50 48 18;23 02 19;200.0
367;250230060;Józefów;Tanew (228);50 29 15;23 03 30;257.0
368;250230070;Tomaszów Lubelski;Sołokija (26614);50 27 29;23 23 56;270.0
369;250230130;FUTORY;Lubaczówka (2256);50 11 48;23 02 47;239.0
370;250230140;WIELKIE OCZY;Szkło (2254);50 01 04;23 09 30;236.0
371;250230160;CIESZANÓW;Tanew (228);50 14 01;23 07 05;217.0
372;250230170;Jędrzejówka;Tanew (228);50 19 47;23 20 34;285.0
373;250240010;Strzyżów;Bug (266);50 50 24;24 02 08;181.0
374;251140060;Sobolice;Nysa Łużycka (174);51 23 18;14 58 30;150.0
375;251140110;Sanice;Nysa Łużycka (174);51 24 22;14 58 33;150.0
376;251150030;Nowogród Bobrzański;Bóbr (16);51 47 58;15 15 11;102.0
377;251150110;Żagań;Bóbr (16);51 38 59;15 17 37;96.0
378;251150130;Łozy;Kwisa (166);51 29 22;15 22 01;128.0
379;251150180;Tomaszów Bolesławiecki;Bobrzyca (1638);51 16 35;15 40 39;186.0
380;251150280;Twardocice;Gajowa (138664);51 05 26;15 44 51;253.0
381;251150290;Sulików;Czerwona Woda (1744);51 04 37;15 03 54;214.0
382;251150320;Bierna;Czerwona Woda (1744);51 02 20;15 06 59;265.0
383;251150340;Gryfów Śląski;Kwisa (166);51 01 36;15 24 34;312.0
384;251150350;Lubomierz;Oldza (1664);51 00 55;15 30 10;365.0
385;251150360;Świerzawa;Kaczawa (138);51 01 01;15 53 20;299.0
386;251150390;Złotniki Lubańskie;Zb. Złotniki (166513);51 00 50;15 20 26;360
387;251150410;ŚWIERZAWA;Kaczawa (138);51 01 01;15 53 20;260.0
388;251150420;STANKOWICE;Kwisa (166);51 01 00;15 18 49;335.0
389;251150430;Białków;Lubsza (1748);51 46 37;15 01 18;85.0
390;251150440;Siecieborzyce;Bóbr (16);51 39 56;15 32 13;150.0
391;251150450;Pieńsk;Nysa Łużycka (174);51 15 36;15 02 25;164.0
392;251160110;Osetno;Barycz (14);51 37 55;16 27 51;87.0
393;251160150;POLKOWICE DOLNE;Mokrzyca (16418);51 30 02;16 03 22;160.0
394;251160170;Chwałkowice;Rudawka (145444);51 26 54;16 36 47;178.0
395;251160190;LUBIN;Zimnica (1392);51 24 43;16 13 01;131.0
396;251160220;Oborniki Śląskie;Odra (1);51 17 22;16 55 50;160.0
397;251160290;Jawor;Nysa Szalona (1384);51 03 48;16 11 01;188.0
398;251160320;RADZYŃ;Obrzyca (156);51 52 21;16 02 16;60.0
399;251160360;GŁOGÓW;Odra (1);51 40 21;16 03 36;75.0
400;251160420;Pysząca;Odra (1);51 15 23;16 40 47;110.0
401;251170030;Witaszyce;Lutynia (1852);51 56 44;17 33 12;130
402;251170090;Smolice;Rdęca (1464);51 41 39;17 10 47;105.0
403;251170140;Milicz;Barycz (14);51 30 40;17 16 38;118.0
404;251170210;Trzebnica;Kanał Trzebnicki (14428);51 19 22;17 04 05;155.0
405;251170270;Bierutów;Widawa (136);51 07 08;17 32 41;141.0
406;251170290;Namysłów;Widawa (136);51 03 57;17 42 57;152.0
407;251170360;Ostrów Wielkopolski;Ołobok (1844);51 39 39;17 52 24;123.0
408;251170380;WOLA KSIĄŻĘCA;Lutynia (1852);51 57 41;17 35 21;118.0
409;251170430;OSTRZESZÓW II;Dąbrówka (1412);51 26 04;17 54 56;186.0
410;251170440;Drołtowice;Widawa (136);51 20 06;17 35 46;200.0
411;251180020;Zbiersk;Czarna Struga (183566);51 56 36;18 09 01;125
412;251180040;Poddębice;Ner (1832);51 53 08;18 57 35;130.0
413;251180050;Lisków;Swędrnia (18482);51 50 07;18 24 36;147.0
414;251180090;Sieradz;Warta (18);51 35 35;18 41 14;140
415;251180140;Złoczew;Oleśnica (1818);51 25 16;18 35 57;175
416;251180150;Mirków;Prosna (184);51 18 37;18 08 47;156
417;251180160;Osjaków;Warta (18);51 16 59;18 47 01;156
418;251180190;Siemianice;Prosna (184);51 10 58;18 08 35;180
419;251180240;Jastrzygowice;Prosna (184);51 00 04;18 27 25;202
420;251180310;Kiełczygłów;Nieciecz (18292);51 14 14;18 59 06;175.0
421;251180320;Kraszewice;Łużyca (18438);51 31 49;18 12 17;131.0
422;251180330;Działoszyn;Warta (18);51 07 12;18 52 26;191.0
423;251180350;SIERADZ-DZIGORZEW;Warta (18);51 37 27;18 42 17;128.0
424;251190140;Plucice;Luciąża (25452);51 12 13;19 36 07;204.0
425;251190160;Przedbórz;Pilica (254);51 05 26;19 52 31;190.0
426;251190190;Łask;Grabia (1828);51 35 08;19 10 43;189
427;251190210;Szczerców;Widawka (182);51 20 27;19 07 09;160.0
428;251190220;Dobryszyce;Widawka (182);51 08 51;19 24 30;216.0
429;251190230;Jarosty;Luciąża (25452);51 27 45;19 41 31;197.0
430;251190240;Wierzbowa;Ner (1832);51 59 12;19 04 46;111.0
431;251190250;Bełchatów;Widawka (182);51 22 47;19 23 49;207.0
432;251200030;Skierniewice;Bzura (272);51 57 55;20 09 37;128.0
433;251200080;Białobrzegi;Pilica (254);51 38 54;20 56 25;116.0
434;251200130;Opoczno;Drzewiczka (2548);51 22 44;20 14 04;200.0
435;251200140;Ruszkowice;Radomka (252);51 20 21;20 39 57;210.0
436;251200150;Łaziska;Radomka (252);51 19 26;20 55 33;180.0
437;251200170;Chełsty;Czarna (Maleniecka) (2544);51 12 57;20 08 55;220.0
438;251200220;Włochów;Czarna (2544);51 05 56;20 36 44;345.0
439;251200240;Stanowiska;Czarna (Maleniecka) (2544);51 02 31;20 22 17;305.0
440;251200250;Suchedniów;Kamienna (234);51 02 59;20 49 50;265
441;251200270;Dąbrówka Stara;Pilica (254);51 46 49;20 44 13;174.0
442;251200290;Teofilów;Pilica (254);51 31 41;20 10 58;150.0
443;251210040;JARCZEW;Wilga (2536);51 48 53;21 58 24;180.0
444;251210120;PUŁAWY;Wisła (2);51 24 46;21 57 58;142.0
