LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
623;254200070;KASZUNY;Drwęca Warmińska (566);54 09 30;20 20 23;89.0
624;254200080;LIDZBARK WARMIŃSKI;Łyna (584);54 08 09;20 35 10;90
625;254210020;WĘGORZEWO;Węgorapa (582);54 13 26;21 44 05;116.0
626;254220020;ŻABIN;Węgorapa (582);54 19 17;22 02 17;110.0
627;254220030;GOŁDAP;Gołdapa (5824);54 18 30;22 16 07;159.0
628;254220060;BANIE MAZURSKIE;Gołdapa (5824);54 15 06;22 01 23;110.0
629;254220090;OLECKO;Jez. Olecko Wielkie (2626139);54 02 51;22 29 13;182.0
630;254230040;Podwojponie;Szeszupa (68);54 18 01;23 07 10;207.0
631;349190600;Bielsko-Biała;Biała (2114);49 48 24;19 00 08;396.0
632;349190625;Zakopane;Dunajec (214);49 17 38;19 57 37;852.0
633;349190650;KASPROWY WIERCH;Dunajec (214);49 13 57;19 58 55;1990
634;349200628;Hala Gąsienicowa;Dunajec (214);49 14 38;20 00 21;1523.0
635;349200660;NOWY SĄCZ;Dunajec (214);49 37 38;20 41 19;292
636;349210670;KROSNO;Wisłok (226);49 42 24;21 46 09;330.0
637;349220690;LESKO;San (22);49 27 59;22 20 30;420
638;349220695;PRZEMYŚL;San (22);49 48 15;22 46 19;279
639;350150500;Jelenia Góra;Bóbr (16);50 54 01;15 47 20;342
640;350150510;Śnieżka;Łomniczka (16184);50 44 11;15 44 23;1603
641;350160520;Kłodzko;Nysa Kłodzka (12);50 26 13;16 36 51;356.0
642;350170530;Opole;Odra (1);50 37 37;17 58 08;163.0
643;350180540;Racibórz;Odra (1);50 03 40;18 11 27;206
644;350190550;Częstochowa;Warta (18);50 48 43;19 05 30;293.0
645;350190560;KATOWICE-MUCHOWIEC;Rawa (21268);50 14 26;19 01 58;278.0
646;350190566;Kraków-Balice;Wisła (2);50 04 40;19 47 42;236.0
647;350200570;KIELCE-SUKÓW;Czarna Nida (2164);50 48 38;20 41 32;260
648;350200575;TARNÓW;Biała (2148);50 01 32;20 56 31;210.0
649;350210585;SANDOMIERZ;Wisła (2);50 41 48;21 42 57;217
650;350220580;RZESZÓW-JASIONKA;Wisłok (226);50 06 39;22 02 32;206.0
651;350230595;Zamość;Wieprz (24);50 41 54;23 12 20;223.0
652;351150400;Zielona Góra;Odra (1);51 55 48;15 31 29;192
653;351160415;Legnica;Kaczawa (138);51 11 33;16 12 28;123.0
654;351160418;Leszno;Strzyżewicki Rów (14884);51 50 08;16 32 05;91
655;351160424;Wrocław-Strachowice;Odra (1);51 06 12;16 54 00;120
656;351160425;WROCŁAW;Odra (1);51 06 49;16 52 54;120.0
657;351180435;Kalisz;Prosna (184);51 46 52;18 04 51;137.0
658;351180455;Wieluń;Warta (18);51 12 37;18 33 24;199
659;351190465;Łódź-Lublinek;Ner (1832);51 43 06;19 23 14;174.0
660;351190469;Sulejów;Pilica (254);51 21 12;19 51 59;188.0
661;351210488;Kozienice;Wisła (2);51 33 53;21 32 37;123.0
662;351220495;LUBLIN-RADAWIEC;Bystrzyca (246);51 13 00;22 23 35;238.0
663;351230497;Włodawa;Bug (266);51 33 12;23 31 46;177.0
664;352140310;Słubice;Odra (1);52 20 55;14 37 11;53
665;352150300;Gorzów Wlkp.;Warta (18);52 44 28;15 16 38;71
666;352160330;Poznań-Ławica;Warta (18);52 25 00;16 50 05;88.0
667;352180345;Koło-Radoszewice;Noteć (188);52 21 43;18 42 22;109.0
668;352190360;PŁOCK;Wisła (2);52 35 18;19 43 33;106.0
669;352200375;Warszawa;Wisła (2);52 09 46;20 57 40;106.0
670;352220385;SIEDLCE;Liwiec (2668);52 10 52;22 14 41;152.0
671;352230399;TERESPOL;Bug (266);52 04 43;23 37 19;133.0
672;353140200;Świnoujście;Bałtyk (0);53 55 24;14 14 32;4.0
673;353140205;Szczecin;Odra (1);53 23 43;14 37 22;1.0
674;353150210;Resko-Smólsko;Rega (42);53 45 49;15 23 36;52
675;353160215;Szczecinek;Gwda (1886);53 43 04;16 44 48;139.0
676;353160230;Piła;Gwda (1886);53 07 50;16 44 50;72
677;353170235;Chojnice;Brda (292);53 42 55;17 31 57;164.0
678;353180250;Toruń;Wisła (2);53 02 31;18 35 44;69.0
679;353200270;MŁAWA;Wkra (268);53 06 15;20 21 40;147
680;353200272;OLSZTYN;Łyna (584);53 46 07;20 25 17;133
681;353210280;MIKOŁAJKI;Jez. Mikołajskie (26439);53 47 21;21 35 23;127
682;353210285;OSTROŁĘKA;Narew (26);53 03 57;21 32 02;94
683;353230295;BIAŁYSTOK;Biała (26168);53 06 26;23 09 44;148.0
684;354150100;Kołobrzeg-Dźwirzyno;Jez. Resko Przymorskie (43219);54 09 30;15 23 20;4.0
685;354160105;Koszalin;Dzierżęcinka (45614);54 12 16;16 09 19;33
686;354160115;Ustka;Bałtyk (0);54 35 18;16 51 15;3.0
687;354170120;Łeba;Łeba (476);54 45 13;17 32 05;1
688;354170125;Lębork;Łeba (476);54 33 11;17 45 25;39
689;354180135;Hel;Bałtyk (0);54 36 13;18 48 43;1
690;354180155;Gdańsk-Świbno;Wisła (2);54 20 01;18 56 04;7.0
691;354190160;Elbląg-Milejewo;Elbląg (54);54 13 24;19 32 37;189.0
692;354210185;KĘTRZYN;Guber (5848);54 04 02;21 22 00;107.0
693;354220195;SUWAŁKI;Czarna Hańcza (64);54 07 51;22 56 56;184
